Municipio;Total Abandono Escolar
ADAMANTINA;0,0
ADOLFO;0,0
AGUAI;0,0
AGUAS DA PRATA;0,0
AGUAS DE LINDOIA;2,57
AGUAS DE SANTA BARBARA;0,0
AGUAS DE SAO PEDRO;0,0
AGUDOS;0,42
ALAMBARI;0,0
ALFREDO MARCONDES;2,36
ALTAIR;1,01
ALTINOPOLIS;0,0
ALTO ALEGRE;0,0
ALUMINIO;0,0
ALVARES FLORENCE;0,0
ALVARES MACHADO;3,54
ALVARO DE CARVALHO;0,0
ALVINLANDIA;0,0
AMERICANA;0,28
AMERICO BRASILIENSE;0,0
AMERICO DE CAMPOS;0,0
AMPARO;0,04
ANALANDIA;0,0
ANDRADINA;0,07
ANGATUBA;0,17
ANHEMBI;0,0
ANHUMAS;0,0
APARECIDA;0,0
APARECIDA D'OESTE;0,0
APIAI;0,0
ARACARIGUAMA;0,26
ARACATUBA;0,0
ARACOIABA DA SERRA;0,82
ARAMINA;0,0
ARANDU;0,0
ARAPEI;0,0
ARARAQUARA;0,58
ARARAS;0,27
ARCO-IRIS;0,0
AREALVA;0,0
AREIAS;0,68
AREIOPOLIS;0,0
ARIRANHA;0,0
ARTUR NOGUEIRA;1,5
ARUJA;2,05
ASPASIA;0,0
ASSIS;0,13
ATIBAIA;0,32
AURIFLAMA;1,29
AVAI;0,0
AVANHANDAVA;0,0
AVARE;0,37
BADY BASSITT;0,54
BALBINOS;0,0
BALSAMO;0,0
BANANAL;0,0
BARAO DE ANTONINA;0,0
BARBOSA;0,0
BARIRI;0,0
BARRA BONITA;0,24
BARRA DO CHAPEU;0,0
BARRA DO TURVO;0,0
BARRETOS;0,37
BARRINHA;0,0
BARUERI;0,05
BASTOS;0,0
BATATAIS;4,58
BAURU;1,43
BEBEDOURO;0,0
BENTO DE ABREU;0,0
BERNARDINO DE CAMPOS;0,0
BERTIOGA;1,05
BILAC;0,0
BIRIGUI;0,16
BIRITIBA-MIRIM;2,75
BOA ESPERANCA DO SUL;0,0
BOCAINA;0,21
BOFETE;0,0
BOITUVA;0,08
BOM JESUS DOS PERDOES;2,42
BOM SUCESSO DE ITARARE;0,0
BORA;0,0
BORACEIA;0,0
BORBOREMA;0,0
BOREBI;0,0
BOTUCATU;0,07
BRAGANCA PAULISTA;0,09
BRAUNA;0,0
BREJO ALEGRE;0,0
BRODOWSKI;4,43
BROTAS;0,5
BURI;0,0
BURITAMA;0,0
BURITIZAL;0,0
CABRALIA PAULISTA;12,92
CABREUVA;0,0
CACAPAVA;1,3
CACHOEIRA PAULISTA;0,0
CACONDE;0,0
CAFELANDIA;0,0
CAIABU;1,22
CAIEIRAS;1,04
CAIUA;0,0
CAJAMAR;0,56
CAJATI;0,06
CAJOBI;0,0
CAJURU;1,62
CAMPINA DO MONTE ALEGRE;0,49
CAMPINAS;1,58
CAMPO LIMPO PAULISTA;0,91
CAMPOS DO JORDAO;0,0
CAMPOS NOVOS PAULISTA;0,0
CANANEIA;0,0
CANAS;0,0
CANDIDO MOTA;0,92
CANDIDO RODRIGUES;0,0
CANITAR;0,0
CAPAO BONITO;0,0
CAPELA DO ALTO;0,15
CAPIVARI;0,39
CARAGUATATUBA;0,02
CARAPICUIBA;1,79
CARDOSO;0,0
CASA BRANCA;0,0
CASSIA DOS COQUEIROS;0,0
CASTILHO;0,0
CATANDUVA;0,09
CATIGUA;0,0
CEDRAL;0,0
CERQUEIRA CESAR;0,0
CERQUILHO;0,55
CESARIO LANGE;0,0
CHARQUEADA;0,0
CHAVANTES;2,49
CLEMENTINA;0,0
COLINA;0,0
COLOMBIA;0,0
CONCHAL;0,12
CONCHAS;0,0
CORDEIROPOLIS;0,0
COROADOS;0,0
CORONEL MACEDO;0,0
CORUMBATAI;0,0
COSMOPOLIS;0,05
COSMORAMA;0,0
COTIA;1,86
CRAVINHOS;0,11
CRISTAIS PAULISTA;1,47
CRUZALIA;0,0
CRUZEIRO;0,75
CUBATAO;0,75
CUNHA;0,0
DESCALVADO;0,41
DIADEMA;0,22
DIRCE REIS;0,0
DIVINOLANDIA;3,1
DOBRADA;0,0
DOIS CORREGOS;0,0
DOLCINOPOLIS;0,0
DOURADO;0,0
DRACENA;0,0
DUARTINA;0,0
DUMONT;0,0
ECHAPORA;0,0
ELDORADO;0,0
ELIAS FAUSTO;0,86
ELISIARIO;0,0
EMBAUBA;0,0
EMBU DAS ARTES;0,9
EMBU-GUACU;0,15
EMILIANOPOLIS;0,0
ENGENHEIRO COELHO;0,0
ESPIRITO SANTO DO PINHAL;0,0
ESPIRITO SANTO DO TURVO;0,0
ESTIVA GERBI;0,0
ESTRELA D'OESTE;0,0
ESTRELA DO NORTE;0,0
EUCLIDES DA CUNHA PAULISTA;0,0
FARTURA;0,0
FERNANDO PRESTES;0,0
FERNANDOPOLIS;0,0
FERNAO;0,0
FERRAZ DE VASCONCELOS;0,22
FLORA RICA;0,0
FLOREAL;0,0
FLORIDA PAULISTA;0,0
FLORÃNEA;1,3
FRANCA;1,09
FRANCISCO MORATO;1,26
FRANCO DA ROCHA;0,59
GABRIEL MONTEIRO;0,0
GALIA;0,44
GARCA;3,35
GASTAO VIDIGAL;0,0
GAVIAO PEIXOTO;0,0
GENERAL SALGADO;0,0
GETULINA;0,51
GLICERIO;0,0
